DATE_,GOV_REPO_RATE,MEAN_BANK_RATES
2017-07-24,8.5,7.911666666666667
2017-07-25,8.5,7.911666666666667
2017-07-26,8.5,7.911666666666667
2017-07-27,8.5,7.911666666666667
2017-07-28,8.5,7.911666666666667
2017-07-31,8.5,7.911666666666667
2017-08-01,8.5,8.203666666666667
2017-08-02,8.5,8.203666666666667
2017-08-03,8.5,8.203666666666667
2017-08-04,8.5,8.203666666666667
2017-08-07,8.5,8.203666666666667
2017-08-08,8.5,8.203666666666667
2017-08-09,8.5,8.203666666666667
2017-08-10,8.5,8.203666666666667
2017-08-11,8.5,8.203666666666667
2017-08-14,8.5,8.203666666666667
2017-08-15,8.5,8.203666666666667
2017-08-16,8.5,8.203666666666667
2017-08-17,8.5,8.203666666666667
2017-08-18,8.5,8.203666666666667
2017-08-21,8.5,8.203666666666667
2017-08-22,8.5,8.203666666666667
2017-08-23,8.5,8.203666666666667
2017-08-24,8.5,8.203666666666667
2017-08-25,8.5,8.203666666666667
2017-08-28,8.5,8.203666666666667
2017-08-29,8.5,8.203666666666667
2017-08-30,8.5,8.203666666666667
2017-08-31,8.5,8.203666666666667
2017-09-01,8.5,7.8756666666666675
2017-09-04,8.5,7.8756666666666675
2017-09-05,8.5,7.8756666666666675
2017-09-06,8.5,7.8756666666666675
2017-09-07,8.5,7.8756666666666675
2017-09-08,8.5,7.8756666666666675
2017-09-11,8.5,7.8756666666666675
2017-09-12,8.5,7.8756666666666675
2017-09-13,8.5,7.8756666666666675
2017-09-14,8.5,7.8756666666666675
2017-09-15,8.5,7.8756666666666675
2017-09-18,8.5,7.775666666666668
2017-09-19,8.5,7.775666666666668
2017-09-20,8.5,7.775666666666668
2017-09-21,8.5,7.775666666666668
2017-09-22,8.5,7.775666666666668
2017-09-25,8.5,7.775666666666668
2017-09-26,8.5,7.775666666666668
2017-09-27,8.5,7.775666666666668
2017-09-28,8.5,7.775666666666668
2017-09-29,8.5,7.775666666666668
2017-10-02,8.5,7.270333333333335
2017-10-03,8.5,7.270333333333335
2017-10-04,8.5,7.270333333333335
2017-10-05,8.5,7.270333333333335
2017-10-06,8.5,7.270333333333335
2017-10-09,8.5,7.270333333333335
2017-10-10,8.5,7.270333333333335
2017-10-11,8.5,7.270333333333335
2017-10-12,8.5,7.270333333333335
2017-10-13,8.5,7.270333333333335
2017-10-16,8.5,7.270333333333335
2017-10-17,8.5,7.270333333333335
2017-10-18,8.5,7.270333333333335
2017-10-19,8.5,7.270333333333335
2017-10-20,8.5,7.270333333333335
2017-10-23,8.5,7.270333333333335
2017-10-24,8.5,7.270333333333335
2017-10-25,8.5,7.270333333333335
2017-10-26,8.5,7.270333333333335
2017-10-27,8.5,7.270333333333335
2017-10-30,8.25,7.220333333333334
2017-10-31,8.25,7.220333333333334
2017-11-01,8.25,7.088333333333334
2017-11-02,8.25,7.088333333333334
2017-11-03,8.25,7.088333333333334
2017-11-07,8.25,7.088333333333334
2017-11-08,8.25,7.088333333333334
2017-11-09,8.25,7.088333333333334
2017-11-10,8.25,7.088333333333334
2017-11-13,8.25,7.088333333333334
2017-11-14,8.25,7.088333333333334
2017-11-15,8.25,7.088333333333334
2017-11-16,8.25,7.088333333333334
2017-11-17,8.25,7.088333333333334
2017-11-20,8.25,7.088333333333334
2017-11-21,8.25,7.088333333333334
2017-11-22,8.25,7.088333333333334
2017-11-23,8.25,7.088333333333334
2017-11-24,8.25,7.088333333333334
2017-11-27,8.25,7.088333333333334
2017-11-28,8.25,7.088333333333334
2017-11-29,8.25,7.088333333333334
2017-11-30,8.25,7.088333333333334
2017-12-01,8.25,7.215000000000001
2017-12-04,8.25,7.215000000000001
2017-12-05,8.25,7.215000000000001
2017-12-06,8.25,7.215000000000001
2017-12-07,8.25,7.215000000000001
2017-12-08,8.25,7.215000000000001
2017-12-11,8.25,7.215000000000001
2017-12-12,8.25,7.215000000000001
2017-12-13,8.25,7.215000000000001
2017-12-14,8.25,7.215000000000001
2017-12-15,8.25,7.215000000000001
2017-12-18,7.75,7.115
2017-12-19,7.75,7.115
2017-12-20,7.75,7.115
2017-12-21,7.75,7.115
2017-12-22,7.75,7.115
2017-12-25,7.75,7.115
2017-12-26,7.75,7.115
2017-12-27,7.75,7.115
2017-12-28,7.75,7.115
2017-12-29,7.75,7.115
2018-01-09,7.75,6.494666666666667
2018-01-10,7.75,6.494666666666667
2018-01-11,7.75,6.494666666666667
2018-01-12,7.75,6.494666666666667
2018-01-15,7.75,6.494666666666667
2018-01-16,7.75,6.494666666666667
2018-01-17,7.75,6.494666666666667
2018-01-18,7.75,6.494666666666667
2018-01-19,7.75,6.494666666666667
2018-01-22,7.75,6.494666666666667
2018-01-23,7.75,6.494666666666667
2018-01-24,7.75,6.494666666666667
2018-01-25,7.75,6.494666666666667
2018-01-26,7.75,6.494666666666667
2018-01-29,7.75,6.494666666666667
2018-01-30,7.75,6.494666666666667
2018-01-31,7.75,6.494666666666667
2018-02-01,7.75,6.54
2018-02-02,7.75,6.54
2018-02-05,7.75,6.54
2018-02-06,7.75,6.54
2018-02-07,7.75,6.54
2018-02-08,7.75,6.54
2018-02-09,7.75,6.54
2018-02-12,7.5,6.456666666666667
2018-02-13,7.5,6.456666666666667
2018-02-14,7.5,6.456666666666667
2018-02-15,7.5,6.456666666666667
2018-02-16,7.5,6.456666666666667
2018-02-19,7.5,6.456666666666667
2018-02-20,7.5,6.456666666666667
2018-02-21,7.5,6.456666666666667
2018-02-22,7.5,6.456666666666667
2018-02-26,7.5,6.456666666666667
2018-02-27,7.5,6.456666666666667
2018-02-28,7.5,6.456666666666667
2018-03-01,7.5,6.456666666666667
