DATE,DEPOSITS_FROM_COMPANIES_TEMPO_MONTH
3/1/2018,1.5
2/28/2018,1.5
2/27/2018,1.5
2/26/2018,1.5
2/22/2018,1.5
2/21/2018,1.5
2/20/2018,1.5
2/19/2018,1.5
2/16/2018,1.5
2/15/2018,1.5
2/14/2018,1.5
2/13/2018,1.5
2/12/2018,1.5
2/9/2018,1.5
2/8/2018,1.5
2/7/2018,1.5
2/6/2018,1.5
2/5/2018,1.5
2/2/2018,1.5
2/1/2018,1.5
1/31/2018,2.3
1/30/2018,2.3
1/29/2018,2.3
1/26/2018,2.3
1/25/2018,2.3
1/24/2018,2.3
1/23/2018,2.3
1/22/2018,2.3
1/19/2018,2.3
1/18/2018,2.3
1/17/2018,2.3
1/16/2018,2.3
1/15/2018,2.3
1/12/2018,2.3
1/11/2018,2.3
1/10/2018,2.3
1/9/2018,2.3
12/29/2017,2.1
12/28/2017,2.1
12/27/2017,2.1
12/26/2017,2.1
12/25/2017,2.1
12/22/2017,2.1
12/21/2017,2.1
12/20/2017,2.1
12/19/2017,2.1
12/18/2017,2.1
12/15/2017,2.1
12/14/2017,2.1
12/13/2017,2.1
12/12/2017,2.1
12/11/2017,2.1
12/8/2017,2.1
12/7/2017,2.1
12/6/2017,2.1
12/5/2017,2.1
12/4/2017,2.1
12/1/2017,2.1
11/30/2017,0.1
11/29/2017,0.1
11/28/2017,0.1
11/27/2017,0.1
11/24/2017,0.1
11/23/2017,0.1
11/22/2017,0.1
11/21/2017,0.1
11/20/2017,0.1
11/17/2017,0.1
11/16/2017,0.1
11/15/2017,0.1
11/14/2017,0.1
11/13/2017,0.1
11/10/2017,0.1
11/9/2017,0.1
11/8/2017,0.1
11/7/2017,0.1
11/3/2017,0.1
11/2/2017,0.1
11/1/2017,0.1
10/31/2017,-1.4
10/30/2017,-1.4
10/27/2017,-1.4
10/26/2017,-1.4
10/25/2017,-1.4
10/24/2017,-1.4
10/23/2017,-1.4
10/20/2017,-1.4
10/19/2017,-1.4
10/18/2017,-1.4
10/17/2017,-1.4
10/16/2017,-1.4
10/13/2017,-1.4
10/12/2017,-1.4
10/11/2017,-1.4
10/10/2017,-1.4
10/9/2017,-1.4
10/6/2017,-1.4
10/5/2017,-1.4
10/4/2017,-1.4
10/3/2017,-1.4
10/2/2017,-1.4
9/29/2017,-0.8
9/28/2017,-0.8
9/27/2017,-0.8
9/26/2017,-0.8
9/25/2017,-0.8
9/22/2017,-0.8
9/21/2017,-0.8
9/20/2017,-0.8
9/19/2017,-0.8
9/18/2017,-0.8
9/15/2017,-0.8
9/14/2017,-0.8
9/13/2017,-0.8
9/12/2017,-0.8
9/11/2017,-0.8
9/8/2017,-0.8
9/7/2017,-0.8
9/6/2017,-0.8
9/5/2017,-0.8
9/4/2017,-0.8
9/1/2017,-0.8
8/31/2017,0.5
8/30/2017,0.5
8/29/2017,0.5
8/28/2017,0.5
8/25/2017,0.5
8/24/2017,0.5
8/23/2017,0.5
8/22/2017,0.5
8/21/2017,0.5
8/18/2017,0.5
8/17/2017,0.5
8/16/2017,0.5
8/15/2017,0.5
8/14/2017,0.5
8/11/2017,0.5
8/10/2017,0.5
8/9/2017,0.5
8/8/2017,0.5
8/7/2017,0.5
8/4/2017,0.5
8/3/2017,0.5
8/2/2017,0.5
8/1/2017,0.5
7/31/2017,0.6
7/28/2017,0.6
7/27/2017,0.6
7/26/2017,0.6
7/25/2017,0.6
7/24/2017,0.6
